Dana,Smith,292090920,65,62,2016,1
Nikolia,Johnson,269085364,79,86,2018,1
Isahella,Williams,235781325,51,89,2017,0
Laurie,Jones,243017281,51,70,2017,1
Klarika,Brown,301249144,97,71,2016,1
Moyra,Davis,215351332,69,65,2018,1
Molli,Miller,206455054,77,69,2019,1
Salome,Wilson,258439115,52,85,2016,1
Nicki,Moore,254481969,57,100,2019,1
Dido,Taylor,205854769,46,73,2020,1
Bibbie,Anderson,313998891,42,64,2017,0
Constancy,Thomas,289161567,78,94,2016,1
Sula,Jackson,252547811,82,69,2016,1
Gus,White,232092301,74,65,2019,0
Larine,Harris,213251116,58,86,2016,1
Jacinthe,Martin,283059129,64,80,2019,1
Cindra,Thompson,308460513,63,62,2018,0
Nerita,Garcia,318395614,95,61,2017,0
Gunilla,Martinez,271126926,66,96,2018,0
Anneliese,Robinson,218099629,67,97,2017,0
Regina,Clark,233882432,46,84,2019,1
Lonna,Rodriguez,247413538,97,96,2020,1
Clemence,Lewis,276564156,63,88,2017,1
Ashia,Lee,275273840,46,67,2017,0
Edy,Walker,239591425,100,98,2019,0
Shantee,Hall,254173237,97,78,2017,0
Wilie,Allen,274182986,84,76,2017,0
Emily,Young,213682700,78,77,2017,1
Bathsheba,Hernandez,271217499,82,65,2018,0
Anny,King,225337672,51,90,2018,0
Miguela,Wright,279286397,64,85,2019,1
Meara,Lopez,318115721,98,88,2019,1
Susie,Hill,239710816,67,79,2016,1
Adeline,Scott,213567382,43,73,2019,1
Salome,Green,292847802,40,77,2018,1
Lianna,Adams,235258130,76,75,2019,1
Malanie,Baker,269637576,76,79,2019,0
Elsie,Gonzalez,323340824,59,83,2017,1
Babs,Nelson,303460980,96,60,2019,1
Trista,Carter,262089776,52,65,2016,1
Adelind,Mitchell,208283351,99,67,2019,0
Lorianna,Perez,311664273,50,65,2016,0
Glyn,Roberts,219723549,44,95,2020,1
Dana,Turner,297133830,91,61,2016,1
Sibylla,Phillips,232169616,99,85,2020,1
Kalinda,Campbell,255247706,94,78,2016,0
Ediva,Parker,302400674,80,67,2020,1
Elinor,Evans,286875814,54,85,2019,1
Minna,Edwards,247437760,60,67,2018,0
Mattie,Collins,223729620,67,84,2018,1
Nola,Stewart,244295327,47,74,2017,0
Clio,Sanchez,326512782,93,83,2019,0
Sandye,Morris,314385067,92,90,2019,0
Gillie,Rogers,297033320,94,91,2018,1
Eddie,Reed,289456197,89,98,2020,0
Miriam,Cook,293109391,45,84,2020,1
Melba,Morgan,315790603,42,70,2020,1
Antonia,Bell,215425904,41,80,2020,1
Pru,Murphy,315489164,58,73,2017,0
Cynthea,Bailey,266176484,81,92,2017,0
Cherianne,Rivera,316280379,58,78,2018,0
Ailee,Cooper,317855715,82,95,2016,1
Phylys,Richardson,263619858,75,99,2018,0
Addia,Cox,319070278,79,93,2019,1
Cati,Howard,313405681,85,74,2016,1
Connie,Ward,308435060,49,75,2019,1
Adel,Torres,205021249,57,82,2017,1
Jaquelyn,Peterson,301735259,100,60,2016,1
Kesley,Gray,229694990,58,72,2019,0
Sybille,Ramirez,256480940,50,91,2017,1
Charin,James,293063697,61,65,2018,0
Harmony,Watson,300981132,71,84,2016,1
Tanitansy,Brooks,257517197,88,96,2019,0
Jere,Kelly,252023749,90,70,2019,0
Regine,Sanders,220051261,65,77,2017,0
Conni,Price,252508991,99,60,2017,0
Alicea,Bennett,288931912,49,87,2019,1
Gertrudis,Wood,312216789,90,76,2018,1
Aurea,Barnes,323130838,76,78,2017,0
Jacynth,Ross,272744982,87,73,2019,1
Nicolle,Henderson,287181608,62,85,2018,0
Tommy,Coleman,266703315,75,99,2020,0
Elise,Jenkins,296547573,48,88,2017,1
Fanechka,Perry,202754813,46,92,2016,0
Gwen,Powell,323537628,92,86,2020,1
Rhetta,Long,323451734,83,99,2016,1
Dolly,Patterson,289031279,42,62,2016,0
Ursala,Hughes,229138885,78,68,2018,0
Elyse,Flores,230889881,46,100,2017,0
Jillian,Washington,266962248,67,77,2020,0
Betteann,Butler,222863764,74,67,2018,0
Emilee,Simmons,265846060,87,93,2020,1
Dianna,Foster,267239130,87,96,2018,0
Natasha,Gonzales,229436141,44,87,2018,0
Mirabella,Bryant,254194109,52,74,2020,1
Clare,Alexander,316744370,99,85,2017,0
Cherie,Russell,202055142,42,94,2018,0
Phyllida,Griffin,329754784,97,90,2019,0
Lissy,Diaz,274309554,96,79,2019,0
Addia,Hayes,209473594,94,62,2020,0
Eleen,Myers,250297701,41,78,2016,1
Dolly,Ford,291134476,43,100,2018,0
Deb,Hamilton,236634620,74,62,2020,1
Marilyn,Graham,211063555,57,89,2018,1
Kat,Sullivan,267448192,44,62,2018,0
Maire,Wallace,213737655,100,95,2019,0
Etti,Woods,270649297,48,94,2018,1
Stephanie,Cole,269923197,51,88,2017,0
Karola,West,223581785,95,66,2020,0
Dedie,Jordan,222280047,43,90,2016,1
Diana,Owens,299633900,74,94,2017,0
Vickie,Reynolds,207855112,82,86,2020,1
Midge,Fisher,262225339,98,98,2017,0
Charleen,Ellis,250064378,96,81,2018,0
Agretha,Harrison,323622147,66,70,2018,0
Sharla,Gibson,280125029,71,69,2016,1
Hortense,Mcdonald,286747138,95,60,2017,1
Pepi,Cruz,253752176,94,73,2016,0
Valenka,Marshall,211793301,42,85,2016,1
Brigitte,Ortiz,321569857,66,63,2019,0
Meriel,Gomez,207090567,55,89,2018,0
Randee,Murray,248784805,58,72,2019,1
Ursulina,Freeman,303677167,72,84,2019,1
Karyn,Wells,282602115,64,79,2017,0
Marigold,Webb,296590515,83,99,2019,0
Caralie,Simpson,244831602,66,74,2019,0
Kathrine,Stevens,238465425,94,78,2016,1
Philippine,Tucker,222496689,84,79,2019,1
Kissiah,Porter,303451199,52,62,2016,1
Brianne,Hunter,281455712,97,64,2017,0
Gabriela,Hicks,301473711,93,89,2020,0
Florrie,Crawford,321700168,70,97,2016,1
Joellyn,Henry,209202659,85,62,2018,1
Con,Boyd,250625220,56,88,2020,1
Dedra,Mason,242811922,70,89,2019,1
Malorie,Morales,205522803,51,66,2020,1
Denise,Kennedy,325389403,93,60,2016,0
Lyssa,Warren,234583443,67,69,2019,0
Cam,Dixon,254106385,57,77,2019,0
Tabina,Ramos,244498692,43,91,2020,0
Margie,Reyes,204029915,69,69,2020,0
Fey,Burns,201960432,63,96,2020,0
Nadia,Gordon,279252890,92,62,2018,0
Arline,Shaw,283100206,56,81,2017,0
Bernadene,Holmes,317981484,59,80,2019,1
Deena,Rice,329269727,49,86,2018,0
Billy,Robertson,295267336,87,83,2018,0
Elvera,Hunt,201413326,45,98,2016,0
Willa,Black,214694751,64,76,2017,1
Storm,Daniels,249325761,47,85,2017,1
Lorine,Palmer,288856849,88,65,2017,1
Pru,Mills,274625823,96,96,2020,0
Corella,Nichols,318987728,85,94,2019,0
Devora,Grant,219196574,49,73,2020,1
Annecorinne,Knight,242250395,66,97,2018,0
Maure,Ferguson,240134857,76,94,2016,0
Nanine,Rose,320680549,58,75,2020,1
Gretel,Stone,242072072,73,75,2018,0
Diandra,Hawkins,279541080,60,70,2018,0
Ursola,Dunn,252764654,65,67,2017,0
Andriette,Perkins,212471327,61,74,2016,1
Marline,Hudson,246596407,66,82,2020,0
Charlean,Spencer,315806270,50,71,2018,0
Karna,Gardner,278115716,60,78,2019,1
Nollie,Stephens,232216313,99,99,2020,0
Diane-Marie,Payne,242402305,43,90,2016,0
Filide,Pierce,239483937,81,88,2019,1
Eden,Berry,262024938,50,79,2020,1
Fannie,Matthews,293733817,64,67,2018,1
Ange,Arnold,298920836,97,99,2019,1
Cassi,Wagner,233759515,83,89,2016,0
Malory,Willis,307604575,67,89,2019,1
Patti,Ray,239794910,78,88,2016,0
Gene,Watkins,293191525,50,76,2019,1
Chelsey,Olson,299209792,92,91,2018,1
Nina,Carroll,314896201,75,99,2017,0
Raeann,Duncan,220804787,71,80,2018,1
Wally,Snyder,298406159,49,93,2017,0
Elsie,Hart,242387076,80,86,2020,0
Benedikta,Cunningham,233553791,81,99,2018,1
Agneta,Bradley,320202932,93,77,2016,0
Riva,Lane,263323534,87,85,2017,1
Ros,Andrews,300428114,93,90,2017,1
Gweneth,Ruiz,201740179,75,62,2016,0
Vickie,Harper,202204889,79,74,2020,0
Jaymee,Fox,214963476,86,66,2017,1
Vikki,Riley,262475289,87,66,2019,1
Jaquith,Armstrong,329482312,88,76,2017,0
Arleen,Carpenter,281348953,81,87,2017,0
Keely,Weaver,213194562,95,66,2018,1
Kakalina,Greene,236510920,99,94,2020,1
Emelyne,Lawrence,324334006,71,83,2017,1
Ronica,Elliott,223805939,95,100,2018,1
Joanne,Chavez,252218559,79,95,2018,0
Cynde,Sims,247113306,43,86,2019,1
Lurleen,Austin,296384873,93,94,2019,1
Annecorinne,Peters,278131963,44,60,2017,0
Claudetta,Kelley,287101751,46,71,2017,0
Minetta,Franklin,215877423,84,77,2018,0
Shirline,Lawson,257938075,80,97,2019,1
Melissa,Fields,220867519,92,82,2016,1
Modestia,Gutierrez,286235486,64,62,2017,0
Loree,Ryan,217985661,100,75,2016,1
Shane,Schmidt,262597019,42,60,2018,1
Fayre,Carr,295581681,76,90,2017,0
Joletta,Vasquez,257016684,51,61,2017,1
Jorey,Castillo,224190348,96,98,2017,0
Maryann,Wheeler,230404428,68,76,2019,0
Vanessa,Chapman,248187127,47,92,2018,0
Chrystel,Oliver,223550785,76,65,2019,1
Bobbe,Montgomery,263473220,62,76,2017,1
Hally,Richards,231976219,70,93,2016,1
Willette,Williamson,300216907,58,98,2016,0
Noellyn,Johnston,233087890,78,69,2016,0
Carleen,Banks,255823700,49,69,2019,1
Kissiah,Meyer,236941554,89,84,2016,0
Rivkah,Bishop,239650930,90,94,2016,0
Layney,Mccoy,236732047,79,82,2018,1
Shay,Howell,317972330,96,85,2019,0
Quinn,Alvarez,259852053,63,91,2018,0
Mareah,Morrison,309236917,91,77,2018,0
Tanhya,Hansen,231714787,43,93,2016,0
Romola,Fernandez,313633988,74,83,2020,1
Rita,Garza,233012937,80,62,2020,1
Joanie,Harvey,292151780,48,84,2020,1
Dyann,Little,223885636,77,73,2017,0
Chiarra,Burton,219138372,86,66,2018,0
Felicdad,Stanley,211977374,57,94,2016,1
Doreen,Nguyen,276203532,52,88,2018,1
Mahala,George,260637712,91,76,2018,0
Corilla,Jacobs,209176737,46,98,2016,0
Marys,Reid,255540561,96,70,2019,0
Arabele,Kim,263151858,63,99,2019,1
Margo,Fuller,246878047,45,93,2018,0
Chandal,Lynch,239055234,52,84,2019,0
Liliane,Dean,319059870,94,65,2018,1
Yolane,Gilbert,253540875,67,69,2017,1
Nessie,Garrett,268691442,93,85,2020,0
Gwyneth,Romero,233211120,73,60,2017,0
Lil,Welch,246941461,71,86,2020,0
Terry,Larson,258132952,82,86,2017,1
Doralia,Frazier,248158980,94,93,2020,0
Yvette,Burke,305908891,62,89,2017,1
Rosemarie,Hanson,229598126,64,69,2016,1
Judy,Day,237933862,92,77,2019,1
Kacy,Mendoza,305430822,78,76,2019,0
Joyann,Moreno,206196082,92,62,2016,1
Charita,Bowman,228205128,74,79,2020,0
Brenn,Medina,220627872,88,95,2018,1
Conny,Fowler,293253546,93,90,2017,0
Nicole,Brewer,238372326,45,97,2020,0
Koral,Hoffman,244387454,89,80,2019,0
Mercie,Carlson,306993514,81,95,2019,0
Esmaria,Silva,295082671,60,88,2019,1
Joceline,Pearson,321441541,72,92,2019,0
Tierney,Holland,278557325,71,68,2017,0
Caria,Douglas,247714111,78,73,2017,0
Ronny,Fleming,236503497,85,89,2019,1
Natalie,Jensen,317882454,41,72,2018,1
Audi,Vargas,290202512,86,60,2019,0
Marybeth,Byrd,304208109,46,84,2020,1
Kata,Davidson,234253892,45,70,2017,1
Ddene,Hopkins,225077361,83,94,2016,0
Jessica,May,247268507,43,64,2020,1
Dolores,Terry,206749721,82,88,2019,0
Maggie,Herrera,217661401,68,68,2017,1
Claudine,Wade,280642250,55,92,2017,1
Merridie,Soto,220120701,65,97,2016,0
Kirsteni,Walters,268313775,40,81,2017,0
Noreen,Curtis,292122369,71,91,2016,1
Tiffanie,Neal,258881892,74,64,2017,0
Liesa,Caldwell,225089354,51,92,2018,0
Calypso,Lowe,213475278,98,73,2016,0
Cherri,Jennings,324880105,83,79,2018,0
Gerry,Barnett,269415391,44,84,2019,1
Zola,Graves,231623681,42,61,2017,1
Kimberlyn,Jimenez,293841560,78,96,2016,0
Jacquelin,Horton,271347838,70,72,2017,0
Caroline,Shelton,270481497,90,62,2020,1
Brena,Barrett,285517107,99,79,2017,0
Matilda,Obrien,216927891,65,99,2019,0
Crysta,Castro,303961949,47,75,2018,1
Amelita,Sutton,209664920,92,78,2019,1
Crissie,Gregory,300865124,80,87,2017,1
Merridie,Mckinney,316457564,99,66,2020,1
Margarita,Lucas,252876789,52,92,2019,1
Hedwig,Miles,275321535,87,96,2020,0
Jaimie,Craig,280072423,71,70,2018,1
Kandace,Rodriquez,312582236,87,84,2016,0
Leelah,Chambers,243451521,95,65,2020,0
Gretta,Holt,327096159,47,69,2017,0
Gae,Lambert,302416725,98,84,2017,1
Ysabel,Fletcher,275367302,59,86,2016,1
Rosamond,Watts,270625355,76,62,2017,0
Sasha,Bates,319243825,50,89,2018,1
Rene,Hale,249655388,60,73,2020,0
Ashlan,Rhodes,311020817,86,75,2019,1
Kissiah,Pena,209438427,83,88,2020,1
Chad,Beck,209758008,64,60,2017,1
Brianne,Newman,245588483,41,83,2019,0
Cairistiona,Haynes,285845714,42,81,2017,1
Christine,Mcdaniel,226010504,52,98,2020,1
Umeko,Mendez,257793321,79,60,2017,1
Maddy,Bush,252535848,75,63,2018,0
Codie,Vaughn,325832300,79,78,2020,0
Viv,Parks,246407010,60,90,2019,0
Wenonah,Dawson,312578443,71,79,2016,0
Milissent,Santiago,200319974,99,68,2019,1
Martguerita,Norris,329920955,43,68,2019,0
Danette,Hardy,246532219,54,95,2017,0
Rheta,Love,306074319,87,61,2017,1
Denise,Steele,283818980,72,61,2017,0
Chantal,Curry,270290202,83,74,2016,0
Danette,Powers,236223961,71,89,2020,0
Alidia,Schultz,256404507,72,72,2017,0
Dacie,Barker,271329230,68,83,2016,0
Penny,Guzman,282298017,63,92,2020,0
Meg,Page,225444459,91,60,2019,1
Yetta,Munoz,320803996,84,65,2020,1
Gwendolen,Ball,231706995,94,71,2018,0
Beckie,Keller,290224639,78,98,2020,0
Wileen,Chandler,282757968,83,69,2016,0
Gratiana,Weber,231411582,73,68,2019,1
Nikkie,Leonard,212436809,40,70,2020,0
Goldy,Walsh,242136571,88,100,2018,1
Marylou,Lyons,248187174,63,90,2018,0
Portia,Ramsey,290060378,87,68,2017,1
Frederica,Wolfe,294390209,58,94,2020,1
Sheba,Schneider,326386056,91,73,2018,1
Rosaleen,Mullins,216662808,46,80,2019,1
Konstance,Benson,295708723,51,78,2018,1
Ariel,Sharp,255346004,62,70,2018,1
Cristina,Bowen,298656792,91,65,2018,1
Audre,Daniel,224512137,93,97,2019,0
Claudia,Barber,202433231,59,62,2020,1
Kamillah,Cummings,266121298,72,84,2016,1
Milka,Hines,226639000,48,91,2018,1
Claudie,Baldwin,262454281,75,88,2019,1
Faustina,Griffith,208915094,62,95,2017,0
Vanny,Valdez,256528216,96,68,2016,1
Margie,Hubbard,224135642,51,65,2019,0
Nanete,Salazar,325455478,88,91,2018,0
Tuesday,Reeves,295280181,73,67,2020,0
Valencia,Warner,251353279,77,80,2018,0
Casey,Stevenson,204168648,82,71,2020,0
Marina,Burgess,238081017,75,76,2016,0
Meaghan,Santos,306784425,93,84,2017,0
Lenette,Tate,212622992,95,82,2016,1
Selma,Cross,223995522,61,60,2019,0
Sibley,Garner,314509522,72,90,2018,1
Krissy,Mann,306823065,41,78,2017,1
Ros,Mack,252851262,41,80,2016,0
Anet,Moss,290179786,52,81,2020,0
Wilma,Thornton,257339329,72,64,2016,0
Maurine,Dennis,207291809,43,93,2016,0
Lucina,Mcgee,253971433,62,79,2020,1
Saloma,Farmer,304296904,90,64,2016,1
Gloriana,Delgado,285859863,62,95,2020,0
Shauna,Aguilar,241003480,85,89,2019,0
Rachele,Vega,216581635,43,79,2016,1
Carley,Glover,271599405,78,61,2018,0
Ruthi,Manning,307178810,98,66,2017,1
Janel,Cohen,317103545,52,86,2017,0
Kellie,Harmon,238618022,93,61,2018,0
Delila,Rodgers,325922471,57,89,2020,1
Doroteya,Robbins,270490480,69,94,2018,1
Marsiella,Newton,326604619,83,61,2020,0
Cynthy,Todd,257362851,59,92,2017,0
Madella,Blair,201895505,96,68,2020,0
Alysa,Higgins,328479791,99,95,2016,1
Blisse,Ingram,213871848,88,96,2020,1
Kynthia,Reese,300200258,75,63,2020,0
Rosaline,Cannon,201031845,96,99,2016,1
Shayla,Strickland,291216408,40,77,2017,1
Patty,Townsend,203050554,84,68,2016,1
Minny,Potter,321583694,88,73,2016,0
Alessandra,Goodwin,288147368,89,62,2016,0
Jilly,Walton,202926032,82,90,2018,1
Analise,Rowe,219747959,88,86,2017,0
Lydia,Hampton,266966021,59,76,2018,1
Peri,Ortega,227246687,95,64,2020,1
Pavia,Patton,291512265,73,94,2019,0
Chrysa,Swanson,235651972,51,84,2019,0
Ali,Joseph,268587426,87,72,2019,1
Trista,Francis,278183726,88,71,2020,1
Maddi,Goodman,285848853,59,92,2017,0
Rozina,Maldonado,241286803,42,95,2018,0
Teena,Yates,266888721,82,83,2019,0
Gabriella,Becker,311485267,65,79,2018,0
Mame,Erickson,310520225,67,85,2018,1
Fanni,Hodges,269456627,47,63,2019,0
Lucia,Rios,292851536,62,90,2018,1
Madelle,Conner,258433711,50,91,2017,1
Carla,Adkins,294719194,83,62,2020,0
Fancy,Webster,234217307,75,73,2018,0
Carmine,Norman,217157321,84,96,2018,0
Raf,Malone,228679054,95,65,2017,0
Kalina,Hammond,255143716,51,90,2016,0
Bevvy,Flowers,226665082,41,80,2019,1
Elora,Cobb,310835873,87,78,2019,1
Lilia,Moody,283879692,57,74,2019,1
Amii,Quinn,229228826,91,69,2016,1
Alma,Blake,269449773,100,79,2018,0
Minerva,Maxwell,246623194,59,75,2017,0
Rozanna,Pope,250393326,67,80,2018,0
Karlotte,Floyd,293702779,96,82,2020,1
Windy,Osborne,240272548,71,,2017,1
Shaylyn,Paul,231705134,82,90,2020,1
Dolorita,Mccarthy,275648220,60,75,2018,1
